DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
ES,ES04,PARTY,Coal (EAJ-PNV + CC + CxG + Atarrabia Taldea + El Pi + Demòcrates Valencians),Coalition por una Europa Solidaria (Euzko Alderdi Jeltzalea - Partido Nacionalista Vasco + Coalición Canaria + Compromiso por Galicia + Atarrabia Taldea + Proposta per les Illes Balears y Demòcrates Valencians),,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
ES,ES05,PARTY,C's,Ciudadanos - Partido de la Ciudadanía,,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
ES,ES06,PARTY,Coal (PdCat + JXCat),Coal LLIURES PER EUROPA (JUNTS) (Partit Demòcrata Europeu Català  + Junts per Catalunya),,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
ES,ES07,PARTY,VOX,VOX,,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
ES,ES08,PARTY,Coal (ERC + Bildu + BNG),Coalition Ahora Repúblicas (Esquerra Republicana de Catalunya + Euskal Herria Bildu + El Bloque Nacionalista Galego),,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
ES,ES09,PARTY,Coal (Compromís + En Marea +CHA + PCAS + Caballas + NC + Mès + CpM + Iniciativa + Izquierda Andalucista + PvE),Coalition Compromiso por Europa (Compromís + En Marea +Chunta Aragonesista + Partido Castellano + Coalición Caballas + Nueva Canarias + Més per Mallorca + Coalición por Melilla + Iniciativa del Pueblo Andaluz + Izquierda Andalucista + Verdes de Europa),,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
ES,ES10,PARTY,PACMA,Partido Animalista Contra el Maltrato Animal ,,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
ES,ES90,PARTY,Other parties,Other parties,,,Spain,ES,ESP,724.0,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
FR,FR01,PARTY,FI,France insoumise,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR02,PARTY,Coal (PS + RDG + PP + N),Coalition Envie d'Europe écologique et sociale (Parti Socialiste + Radicaux de Gauche + Place publique + Nouvelle Donne),,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR03,PARTY,EELV,Europe écologie-Les verts,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR04,PARTY,LR,Les Républicains - Union de la droite et du centre,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR05,PARTY,RN,Rassemblement national,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR06,PARTY,DLF + CNIP,Debout la France + CNIP,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR07,PARTY,Coal (LREM + MoDem + A + MRSL),"Coalition Renaissance (La Republique En marche! + MoDem + Agir + Mouvement radical, social et libéral)",,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR08,PARTY,PCF,Parti communiste français,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR09,PARTY,UDI,Union des Démocrates et Indépendants,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
